"id"	"document"	"label"	"label_type"	"text"	"label_indices"	"context"
"8137"	"VeryChic"	"0"	"[]"	"information regarding administrative and health formalities that may be required to travel to and stay at a particular accommodation , notably passports , visas or vaccines , may be found on , or via a link on the page of the site dedicated to that offer , and on the informative summary described in article 4.1.2 of these terms and conditions ."	"[0]"	"5.2 Administrative and Health Formalities Information regarding administrative and health formalities that may be required to travel to and stay at a particular accommodation , notably passports , visas or vaccines , may be found on , or via a link on the page of the Site dedicated to that Offer , and on the informative summary described in Article 4.1.2 of these Terms and Conditions ."
"10522"	"Linkedin"	"0"	"[]"	"when you share information on our services , others can see , copy and use that information ."	"[0]"	"2.5 Sharing When you share information on our Services, others can see, copy and use that information. Our Services allow messaging and sharing of information in many ways, such as your profile, slide decks, links to news articles, job postings, InMails and blogs. Information and content that you share or post may be seen by other Members, Visitors or others (including off of the Services). Where we have made settings available, we will honor the choices you make about who can see content or information (e.g., message content to your addressees, sharing content only to LinkedIn connections, restricting your profile visibility from search engines, or opting not to notify others of your LinkedIn profile update). For job searching activities, we default to not notifying your connections network or the public. So if you apply for a job through our Service or opt to signal that you are interested in a job, our default is to share it only with the job poster. We are not obligated to publish any information or content on our Service and can remove it in our sole discretion, with or without notice."
"17805"	"Microsoft"	"0"	"[]"	"the digital goods are only for your personal , noncommercial entertainment use ."	"[0]"	"Digital Goods   k. Digital Goods. Through Microsoft Groove, Microsoft Movies & TV, Store and any other related and future services, Microsoft may enable you to obtain, listen to, view, play or read (as the case may be) music, images, video, text, books, games or other material (""Digital Goods"") that you may get in digital form. The Digital Goods are only for your personal, noncommercial entertainment use. You agree not to redistribute, broadcast, publicly perform or publicly display or transfer any copies of the Digital Goods. Digital Goods may be owned by Microsoft or by third parties. In all circumstances, you understand and acknowledge that your rights with respect to Digital Goods are limited by these Terms, copyright law, and the usage rules located at http://go.microsoft.com/fwlink/p/?LinkId=723143. You agree that you will not attempt to modify any Digital Goods obtained through any of the Services for any reason whatsoever, including for the purpose of disguising or changing ownership or source of the Digital Goods. Microsoft or the owners of the Digital Goods may, from time to time, remove Digital Goods from the Services without notice. Top of page"
"13573"	"Alibaba"	"1"	"['PINC']"	"5.3 upon becoming a member , you consent to the inclusion of the contact information about you in our buyer database and authorize alibaba.com and our affiliates to share the contact information with other users or otherwise use your personal information in accordance with the privacy policy ."	"[7]"	"5.3 Upon becoming a Member, you consent to the inclusion of the contact information about you in our Buyer Database and authorize Alibaba.com and our affiliates to share the contact information with other Users or otherwise use your personal information in accordance with the Privacy Policy."
"7717"	"Headspace"	"0"	"[]"	"2.8 corporate and other consumer communities"	"[0]"	"2.8 CORPORATE AND OTHER CONSUMER COMMUNITIES While Headspace is a consumer products company, there is increasing interest by large consumer communities (corporations, universities, hospitals, etc.) (“Communities”) to introduce the Products to their employees and members. In some cases, these Communities may supplement these Terms with their own terms and conditions. In such event, these Community terms and conditions shall also apply to your use of the Products. In the event of any conflict with such additional terms and these Terms, these Terms shall prevail."
"4351"	"9gag"	"1"	"['LTD']"	"you agree that neither 9gag , inc nor the site will be liable in any event to you or any other party for any suspension , modification , discontinuance or lack of availability of the site , the service , your subscriber content or other content ."	"[6]"	"You agree that neither 9GAG, Inc nor the Site will be liable in any event to you or any other party for any suspension, modification, discontinuance or lack of availability of the Site, the service, your Subscriber Content or other Content."
"886"	"musically"	"1"	"['LAW']"	"this eula is governed by the internal substantive laws of the state of california without respect to its conflict of laws provisions ."	"[5]"	"Miscellaneous. This EULA is governed by the internal substantive laws of the State of California without respect to its conflict of laws provisions. You expressly agree to submit to the exclusive personal jurisdiction of the state and federal courts sitting in San Francisco County, California. You agree that no joint venture, partnership, employment, or agency relationship exists between you and the Company as a result of this EULA or use of the Service. You further acknowledge that by submitting User Content, no confidential, fiduciary, contractually implied or other relationship is created between you and the Company other than pursuant to this EULA. If any provision of this EULA is found to be invalid by any court having competent jurisdiction, the invalidity of such provision will not affect the validity of the remaining provisions of this EULA, which will remain in full force and effect. Failure of the Company to act on or enforce any provision of this EULA will not be construed as a waiver of that provision or any other provision in this EULA. No waiver will be effective against the Company unless made in writing, and no such waiver will be construed as a waiver in any other or subsequent instance. Except as expressly agreed by the Company and you, this EULA constitutes the entire agreement between you and the Company with respect to the subject matter hereof, and supersedes all previous or contemporaneous agreements, whether written or oral, between the parties with respect to the subject matter herein. The Section headings are provided merely for convenience and will not be given any legal import. This EULA will inure to the benefit of our successors and assigns. Y ou may not assign this EULA or any of the rights or licenses granted hereunder, directly or indirectly, including by sale, merger, change of control, operation of law or otherwise, without the prior express written consent of the Company. This means that in the event you dispose of any device on which you have installed any App, such as by sale or gift, you are responsible for deleting any such App(s) from your mobile device prior to such disposition. The Company may assign this EULA, including all its rights hereunder, without restriction."
"4188"	"DeviantArt"	"0"	"[]"	"please review deviantart 's privacy policy ."	"[0]"	""
"14467"	"Rovio"	"0"	"[]"	"if you disable or otherwise tamper with the technical protection measures , the rovio services will not function properly ."	"[0]"	"The Rovio Services may include measures to control access to the Rovio Service, prevent unauthorized copies, or otherwise attempt to prevent anyone from exceeding the limited rights and licenses granted under this EULA. Only Rovio Services subject to a valid license can be used to access online services, and download updates and patches. You may not interfere with such access control measures or attempt to disable or circumvent such security features. If you disable or otherwise tamper with the technical protection measures, the Rovio Services will not function properly."
"2984"	"Expedia"	"1"	"['TER']"	"expedia may also at its sole discretion limit access to the website and/or terminate the accounts of any users who infringe any intellectual property rights of others , whether or not there is any repeat infringement ."	"[8]"	"ACCOUNT TERMINATION In accordance with the Digital Millennium Copyright Act (""DMCA"") and other applicable law, Expedia has adopted a policy of terminating, in appropriate circumstances and at Expedia's sole discretion, subscribers or account holders who are deemed to be repeat infringers. Expedia may also at its sole discretion limit access to the Website and/or terminate the accounts of any users who infringe any intellectual property rights of others, whether or not there is any repeat infringement. If you believe that an account holder or subscriber is a repeat infringer, please provide information sufficient for us to verify that the account holder or subscriber is a repeat infringer when filing your notice."
"4551"	"ZalandoUK"	"0"	"[]"	"subject to clause 4.12 below , this is the total that you will pay for receipt of the ordered product ."	"[0]"	"4.2 Irrespective of any previous price you have seen or heard, once you select a product that you wish to order, you will then be shown or told (on the Websites) the charges you must pay and any applicable delivery charges. All prices include VAT. We do not charge VAT on children’s clothing and footwear. Unless otherwise stipulated on the site, all charges are in the currency then in force in the United Kingdom. Subject to clause 4.12 below, this is the total that you will pay for receipt of the ordered product."
"9723"	"Match"	"0"	"[]"	"there is a dedicated button in the payment confirmation page for this purpose ."	"[0]"	"The Subscriber may, if he/she wishes to, access the Paid Services immediately without waiting for the end of the cancellation period, according to article 36 (1) of the Consumer Contracts (Information, Cancellation and Additional Charges) Regulations 2013. There is a dedicated button in the payment confirmation page for this purpose."
"13646"	"Alibaba"	"1"	"['LTD']"	"in no event shall alibaba.com and our affiliates be held liable for any such services or products ."	"[6]"	"8.4 The Sites may make available to User services or products provided by independent third parties. No warranty or representation is made with regard to such services or products. In no event shall Alibaba.com and our affiliates be held liable for any such services or products."
"13613"	"Alibaba"	"0"	"[]"	"6.4 alibaba.com reserves the right to cooperate fully with governmental authorities , private investigators and/or injured third parties in the investigation of any suspected criminal or civil wrongdoing ."	"[0]"	"6.4 Alibaba.com reserves the right to cooperate fully with governmental authorities, private investigators and/or injured third parties in the investigation of any suspected criminal or civil wrongdoing. Further, to the extent permitted by applicable laws and policies, Alibaba.com may disclose the Member's identity, contact information and/or information regarding the Member's account(s), transactions or activities carried out on or via the Site, if requested by a government or law enforcement body, an injured third party, or as a result of a subpoena or other legal action. Alibaba.com shall not be liable for damages or results arising from such disclosure, and Member agrees not to bring any action or claim against Alibaba.com for such disclosure."
"12225"	"Weebly"	"1"	"['J']"	"in the event this agreement to arbitrate does not apply to you or your claim , any judicial proceeding will be brought in the federal or state courts of san francisco county , california ."	"[4]"	"Either party may bring a lawsuit solely for injunctive relief to stop unauthorized use or abuse of the Service, or to enforce intellectual property rights (e.g., copyright, trademark, trade secret, or patent rights) without first engaging in our informal dispute resolution process or arbitration. In the event this agreement to arbitrate does not apply to you or your claim , any judicial proceeding will be brought in the federal or state courts of San Francisco County, California. You and Weebly agree to submit to the personal and exclusive jurisdiction of the courts in San Francisco, California. REGARDLESS OF ANY STATUTE OR LAW TO THE CONTRARY, ANY CLAIM OR CAUSE OF ACTION BROUGHT BY YOU ARISING OUT OF OR RELATED TO USE OF THE SERVICE OR THESE TERMS MUST BE FILED WITHIN ONE (1) YEAR AFTER SUCH CLAIM OR CAUSE OF ACTION AROSE OR BE FOREVER BARRED."
"13821"	"Grindr"	"0"	"[]"	"grindr has the right , but does not have any obligation , to monitor such content for any purpose ."	"[0]"	"Grindr does not control the content of User Accounts and profiles. Grindr has the right, but does not have any obligation, to monitor such content for any purpose. You acknowledge that You are solely responsible for all content and material that You provide to the Grindr Services."
"1453"	"WeTransfer"	"1"	"['LTD']"	"you acknowledge and agree that wetransfer is not responsible for any damages to your computer system or the computer system of any third party that result from use of the services and is not responsible for any failure of the services to store , transfer or delete a file or for the corruption or loss of any data , information or content contained in a file ."	"[6]"	"Disclaimer WeTransfer provides its Services “AS-IS”, without warranty of any kind. Without limiting the foregoing, WeTransfer explicitly disclaims any warranties of merchantability, fitness for a particular purpose and non-infringement. WeTransfer makes no warranty that the Services are available on an uninterrupted, secure or error-free basis. Your use of the Services is at your own risk. You acknowledge and agree that WeTransfer is not responsible for any damages to your computer system or the computer system of any third party that result from use of the Services and is not responsible for any failure of the Services to store, transfer or delete a file or for the corruption or loss of any data, information or content contained in a file. 11.1 We do our best to make WeTransfer tick real smooth. We don’t take any responsibility for any failure. If anything goes wrong, we’ll run as fast as Usain Bolt to fix it."
"11851"	"Weebly"	"1"	"['PINC', 'USE']"	"by using the service in any way , you agree to and accept these terms , our privacy notice , and any other legal notices or guidelines posted on the site ."	"[7, 9]"	"1. Acceptance of Terms Thank you for using Weebly! These Terms of Service (“Terms”) are a legal agreement between you and Weebly (as defined below) and govern your use and access to Weebly’s website creation service, including our website hosting services, websites, communication tools, mobile applications, and ecommerce tools and other services (collectively the “Service”) that are made available through the website (http://weebly.com) and associated domains owned by Weebly (collectively, the “Site”) or otherwise made available by Weebly. By using the Service in any way, you agree to and accept these Terms, our Privacy Notice, and any other legal notices or guidelines posted on the Site. If you are using our Service for an organization, you are agreeing to these Terms on behalf of that organization. These Terms will also apply when you use the Service on a trial basis. If you do not agree to these Terms, do not use the Service."
"6838"	"Tinder"	"1"	"['USE']"	"the provision of virtual items for use in the service is a service provided by tinder that commences immediately upon the acceptance of your purchase of such virtual items ."	"[9]"	"ALL PURCHASES AND REDEMPTIONS OF VIRTUAL ITEMS MADE THROUGH THE SERVICE ARE FINAL AND NON-REFUNDABLE. The provision of Virtual Items for use in the Service is a service provided by Tinder that commences immediately upon the acceptance of your purchase of such Virtual Items. YOU ACKNOWLEDGE THAT TINDER IS NOT REQUIRED TO PROVIDE A REFUND FOR ANY REASON, AND THAT YOU WILL NOT RECEIVE MONEY OR OTHER COMPENSATION FOR UNUSED VIRTUAL ITEMS WHEN AN ACCOUNT IS CLOSED, WHETHER SUCH CLOSURE WAS VOLUNTARY OR INVOLUNTARY."
"17375"	"WeChat"	"1"	"['CR']"	"subject to the wechat privacy policy and applicable laws and regulations in your jurisdiction , where we suspend or terminate all or part of wechat , or where your access to wechat is terminated by you or us , we do not guarantee that we will be able to return any of your content back to you and we may permanently delete your content without notice to you at any time after termination ."	"[3]"	"Retention and back-up of Your Content Following termination of these Terms, we will only retain and use Your Content in accordance with these Terms and, to the extent Your Content includes Personal Information, the WeChat Privacy Policy. Subject to the WeChat Privacy Policy and applicable laws and regulations in your jurisdiction, where we suspend or terminate all or part of WeChat, or where your access to WeChat is terminated by you or us, we do not guarantee that we will be able to return any of Your Content back to you and we may permanently delete Your Content without notice to you at any time after termination. Please ensure that you regularly back up Your Content."
"17208"	"WeChat"	"1"	"['USE']"	"if you do not agree to these terms , you must not use wechat ."	"[9]"	"By using WeChat, you agree to these Terms. If you do not agree to these Terms, you must not use WeChat."
"17518"	"Microsoft"	"0"	"[]"	"the third-party apps and services may also allow you to store your content or data with the publisher , provider , or operator of the third-party apps and services ."	"[0]"	"Using Third-Party Apps and Services 5. Using Third-Party Apps and Services. The Services may allow you to access or acquire products, services, websites, links, content, material, games or applications from third parties (companies or people who aren’t Microsoft) (""Third-Party Apps and Services""). Many of our Services also help you find Third-Party Apps and Services, and you understand that you are directing our Services to provide Third-Party Apps and Services to you. The Third-Party Apps and Services may also allow you to store Your Content or Data with the publisher, provider, or operator of the Third-Party Apps and Services. The Third-Party Apps and Services may present you with a privacy policy or require you to accept additional terms of use before you can install or use the Third-Party App or Service. See section 14(b) for additional terms for applications acquired through the Office Store, the Xbox Store or the Windows Store. You should review any additional terms and privacy policies before acquiring or using any Third-Party Apps and Services. Any additional terms do not modify any of these Terms. You are responsible for your dealings with third parties. Microsoft does not license any intellectual property to you as part of any Third-Party Apps and Services and is not responsible for information provided by third parties."
"11957"	"Weebly"	"0"	"[]"	"when a buyer purchases commercial products , payments will be processed through our third party payment service provider ."	"[0]"	"When a buyer purchases Commercial Products, payments will be processed through our third party payment service provider. Buyers of Commercial Products will be provided a notice when entering their payment information directing them to the third party payment service provider’s terms of service and privacy policy. These payment services are governed solely by the payment service provider’s terms of service and privacy policy. We are not responsible for the actions of these third party service providers."
"639"	"musically"	"0"	"[]"	"while you may always browse the public-facing portions of the service without registering with us , in order to enjoy the full benefits of the service , including to serve as a creator or editor , you must download the apps and register an account with us -lrb- an `` account '' -rrb- ."	"[0]"	"Registration . Log-In Credentials . While you may always browse the public-facing portions of the Service without registering with us, in order to enjoy the full benefits of the Service, including to serve as a Creator or Editor, you must download the Apps and register an account with us (an “ Account”)."
"10566"	"Linkedin"	"0"	"[]"	"except to the limited extent it may be required by applicable law , linkedin is not responsible for these other sites and apps -- use these at your own risk ."	"[0]"	"3.3 Other Content, Sites and Apps Your use of others’ content and information posted on our Services, is at your own risk. Others may offer their own products and services through our Services, and we aren’t responsible for those third-party activities. By using the Services, you may encounter content or information that might be inaccurate, incomplete, delayed, misleading, illegal, offensive or otherwise harmful. LinkedIn generally does not review content provided by our Members or others. You agree that we are not responsible for others’ (including other Members’) content or information. We cannot always prevent this misuse of our Services, and you agree that we are not responsible for any such misuse. You also acknowledge the risk that you or your organization may be mistakenly associated with content about others when we let connections and followers know you or your organization were mentioned in the news. Members have choices about this feature. You are responsible for deciding if you want to access or use third-party apps or sites that link from our Services. If you allow a third-party app or site to authenticate you or connect with your LinkedIn account, that app or site can access information on LinkedIn related to you and your connections. Third-party apps and sites have their own legal terms and privacy policies, and you may be giving others permission to use your information in ways we would not. Except to the limited extent it may be required by applicable law, LinkedIn is not responsible for these other sites and apps – use these at your own risk. Please see our Privacy Policy."
"2923"	"Expedia"	"0"	"[]"	"the expedia companies , the expedia partners and their respective suppliers hereby disclaim all warranties and conditions with regard to this information , software , products and services , including all implied warranties and conditions of merchantability , fitness for a particular response , title and non-infringement ."	"[0]"	"The Expedia Companies, the Expedia Partners and their respective suppliers make no representations about the suitability of the information, software, products and services contained on this Website for any purpose, and the inclusion or offering of any products or services on this Website does not constitute any endorsement or recommendation of such products or services by the Expedia Companies or the Expedia Partners. All such information, software products, and services are provided “as is” without warranty of any kind. The Expedia Companies, the Expedia Partners and their respective suppliers disclaim all warranties and conditions that this Website, its servers or any email sent from the Expedia Companies, the Expedia Partners and/or their respective suppliers are free of viruses or other harmful components. The Expedia Companies, the Expedia Partners and their respective suppliers hereby disclaim all warranties and conditions with regard to this information, software, products and services, including all implied warranties and conditions of merchantability, fitness for a particular response, title and non-infringement."
"2762"	"Expedia"	"0"	"[]"	"use this website or its contents for any commercial purpose ;"	"[0]"	"PROHIBITED ACTIVITIES The content and information on this Website (including, but not limited to, price and availability of travel services) as well as the infrastructure used to provide such content and information, is proprietary to us or our suppliers and providers. While you may make limited copies of your travel itinerary (and related documents) for travel or service reservations booked through this Website, you agree not to otherwise modify, copy, distribute, transmit, display, perform, reproduce, publish, license, create derivative works from, transfer, or sell or re-sell any information, software, products, or services obtained from or through this Website. Additionally, you agree not to:  use this Website or its contents for any commercial purpose; make any speculative, false, or fraudulent reservation or any reservation in anticipation of demand; access, monitor or copy any content or information of this Website using any robot, spider, scraper or other automated means or any manual process for any purpose without our express written permission; violate the restrictions in any robot exclusion headers on this Website or bypass or circumvent other measures employed to prevent or limit access to this Website; take any action that imposes, or may impose, in our discretion, an unreasonable or disproportionately large load on our infrastructure; deep—link to any portion of this Website (including, without limitation, the purchase path for any travel services) for any purpose without our express written permission; or ""frame"", ""mirror"" or otherwise incorporate any part of this Website into any other website without our prior written authorization. If your booking or account shows signs of fraud, abuse or suspicious activity, Expedia may cancel any travel or service reservations associated with your name, email address or account, and close any associated Expedia accounts. If you have conducted any fraudulent activity, Expedia reserves the right to take any necessary legal action and you may be liable for monetary losses to Expedia, including litigation costs and damages. To contest the cancellation of a booking or freezing or closure of an account, please contact Expedia Customer Service."
"14599"	"Evernote"	"0"	"[]"	"if the third party service or application you elect to use would access or extract content , you grant evernote the right and license to enable third party access to and extraction of your content ."	"[0]"	"If you elect to use any third party service or application that is integrated with Evernote, you also agree that the licenses granted to Evernote in the preceding paragraph shall apply to Content that is submitted or uploaded through such third party service or application. If the third party service or application you elect to use would access or extract Content, you grant Evernote the right and license to enable third party access to and extraction of your Content. Evernote does not assume any responsibility for, or liability on account of, the actions or omissions of such third party applications or service providers."
"17672"	"Microsoft"	"0"	"[]"	"however , certain office store applications that are entirely or partly hosted online may be updated at any time by the application developer and may not require your permission to update ."	"[0]"	"ii. Updates. Microsoft will automatically check for and download updates to your applications, even if you’re not signed into the relevant Store. You can change your Store or system settings if you prefer not to receive automatic updates to Store applications. However, certain Office Store applications that are entirely or partly hosted online may be updated at any time by the application developer and may not require your permission to update."
"2248"	"Google"	"0"	"[]"	"do n't remove , obscure , or alter any legal notices displayed in or along with our services ."	"[0]"	"Don’t remove, obscure, or alter any legal notices displayed in or along with our Services."
"13616"	"Alibaba"	"1"	"['TER']"	"6.5 alibaba.com may , at any time and in our reasonable discretion , impose limitations on , suspend or terminate the member 's use of any service or the sites without being liable to the member if alibaba.com has received notice that the member is in breach of any agreement or undertaking with any affiliate of alibaba.com including without limitation taobao , alipay , china yahoo! and such breach involves or is reasonably suspected of involving dishonest or fraudulent activities ."	"[8]"	"6.5 Alibaba.com may, at any time and in our reasonable discretion, impose limitations on, suspend or terminate the Member’s use of any Service or the Sites without being liable to the Member if Alibaba.com has received notice that the Member is in breach of any agreement or undertaking with any affiliate of Alibaba.com including without limitation Taobao, Alipay, China Yahoo! and such breach involves or is reasonably suspected of involving dishonest or fraudulent activities. Alibaba.com shall not be required to investigate such breach or request confirmation from the Member."
"4877"	"ZalandoUK"	"1"	"['LTD']"	"we shall also not be liable for the actions of third parties ."	"[6]"	"11. We do not warrant that the Websites will be compatible with all hardware and software which you may use. We shall not be liable for damage to, or viruses or other code that may affect, any computer equipment, software, data or other property as a result of your access to or use of the Websites or your obtaining any material from, or as a result of using, the Websites. We shall also not be liable for the actions of third parties."
"13653"	"Alibaba"	"1"	"['LTD']"	"a -rrb- the use or the inability to use the sites or services ;"	"[6]"	"8.7 Alibaba.com shall not be liable for any special, direct, indirect, punitive, incidental or consequential damages or any damages whatsoever (including but not limited to damages for loss of profits or savings, business interruption, loss of information), whether in contract, negligence, tort, equity or otherwise or any other damages resulting from any of the following: a) the use or the inability to use the Sites or Services;"
"3714"	"Tripadvisor"	"1"	"['LTD']"	"as a user of this website , including instant booking , you understand and agree that : -lrb- 1 -rrb- neither tripadvisor nor its affiliates will have any liability to you or others for any unauthorized transactions made using your password or account ; and -lrb- 2 -rrb- the unauthorized use of your password or account could cause you to incur liability to both tripadvisor and other users ."	"[6]"	"AS A USER OF THIS WEBSITE, INCLUDING INSTANT BOOKING, YOU UNDERSTAND AND AGREE THAT: (1) NEITHER TRIPADVISOR NOR ITS AFFILIATES WILL HAVE ANY LIABILITY TO YOU OR OTHERS FOR ANY UNAUTHORIZED TRANSACTIONS MADE USING YOUR PASSWORD OR ACCOUNT; AND (2) THE UNAUTHORIZED USE OF YOUR PASSWORD OR ACCOUNT COULD CAUSE YOU TO INCUR LIABILITY TO BOTH TRIPADVISOR AND OTHER USERS."
"825"	"musically"	"0"	"[]"	"arbitration is more informal than a lawsuit in court ."	"[0]"	"Mandatory Arbitration . Please read this carefully. It affects your rights. THE COMPANY (AND ITS RESPECTIVE CORPORATE PARENTS, SUBSIDIARIES, AFFILIATES, PREDECESSORS IN INTEREST, SUCCESSORS, PERMITTED ASSIGNS), YOU AND ANY OTHER PARTIES ON WHOSE BEHALF YOU ARE ACCESSING THE SERVICE AGREE TO ARBITRATION (EXCEPT FOR MATTERS THAT MAY BE TAKEN TO SMALL CLAIMS COURT), AS THE EXCLUSIVE FORM OF DISPUTE RESOLUTION EXCEPT AS PROVIDED FOR BELOW, FOR ALL DISPUTES AND CLAIMS ARISING OUT OF OR RELATING TO THIS EULA OR THE SERVICE. Arbitration is more informal than a lawsuit in court. Arbitration uses a neutral arbitrator instead of a judge or jury, allows for more limited discovery than in court, and is subject to very limited review by courts. Arbitrators can award the same damages and relief that a court can award. Please visit www.adr.org for more information."
"18428"	"imgur"	"0"	"[]"	"415 jackson street , ste. 200"	"[0]"	"Mailing Address: Imgur Inc. 415 Jackson Street, Ste. 200 San Francisco, CA 94111"
"8272"	"VeryChic"	"0"	"[]"	"by post at : verychic sas - 23 , rue d'anjou -75008 - paris -lrb- france -rrb-"	"[0]"	"By post at: VeryChic SAS - 23, rue d'Anjou -75008 - Paris (France)"
"13606"	"Alibaba"	"1"	"['CR']"	"6.1 alibaba.com reserves the right in our sole discretion to remove , modify or reject any user content that you submit to , post or display on the sites which we reasonably believe is unlawful , violates the terms , could subject alibaba.com or our affiliates to liability , or is otherwise found inappropriate in alibaba.com 's opinion ."	"[3]"	"6.1 Alibaba.com reserves the right in our sole discretion to remove, modify or reject any User Content that you submit to, post or display on the Sites which we reasonably believe is unlawful, violates the Terms, could subject Alibaba.com or our affiliates to liability, or is otherwise found inappropriate in Alibaba.com’s opinion."
"16950"	"Electronic_Arts"	"1"	"['A']"	"for residents outside the united states , arbitration shall be initiated in the county of san mateo , state of california , united states of america , and you and ea agree to submit to the personal jurisdiction of that court , in order to compel arbitration , to stay proceeding pending arbitration , or to confirm , modify , vacate or enter judgment on the award entered by the arbitrator ."	"[1]"	""
"10206"	"Paradox"	"0"	"[]"	"you agree only to use the communication facilities to post , receive or send messages in connection with the game ."	"[0]"	"3. Communication Facilities. Through some of Paradox’s Sites, community forums and Games you may communicate with other users of the Service and players of the Games (“Communication Facilities”). You agree only to use the Communication Facilities to post, receive or send messages in connection with the Game. You agree that you will not:"
"8240"	"VeryChic"	"0"	"[]"	"no claim will be accepted in events of loss -lrb- s -rrb- , damage -lrb- s -rrb- , theft -lrb- s -rrb- of luggage , clothing or personal objects belonging to the customer during the stay ."	"[0]"	""
"8242"	"VeryChic"	"1"	"['LTD']"	"the company will not in any event , be held liable for the non-execution or improper performance of the site or services booked , which are attributable to the customer , partner , or to an unforeseeable and insurmountable third-party influence or case of force majeure ."	"[6]"	"8. RESPONSIBILITIES & GUARANTEES 8.1 Liability exclusion The Company will not in any event, be held liable for the non-execution or improper performance of the Site or Services booked, which are attributable to the Customer, Partner, or to an unforeseeable and insurmountable third-party influence or case of Force Majeure. In the event that VERYCHIC is found liable, the limit of compensation provided for in Article L.211-16 of the Tourism Code and the provisions of the Montreal Convention of the 28th May 1999, the modified Warsaw Convention of the 12th October 1929, or the applicable European regulations, will apply."
